Sr No,Raga Name,Archive No.,Audio_Number,Remarks,Artist Hindustani Music,Artist Others,Singer,Instrument,Vocals,Type,Accompanist,Raga,Tala,Bol,Gharana,Doha,Kaand,Compositions,Occasion,Participants,Director,Producer,Composer,Narrator,Lyricist,Episode,First Line of Song,Items,State / Region,Performers Conductor,Creation Date,Modification Date,Modified By,Track Count,Track Version Count,number of 30 second files,,
1,Abhogi,IN-AIR-DSA-GT-M00-024541,12259-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY PT. GOKULOTSAV JI MAHARAJ, CUT- 02",,,PT. GOKULOTSAV JI MAHARAJ,,VOCAL RECITAL,Vocal, TABLA-  PT SADANAND NAYAMPALLI  HARMONIUM-  ANANTH JOSHI,ABHOGI (NIGHT),JHAPTAL,"CHARAN GHAR AYE, (II) LAJ RAKH LIJO",,,,DRUT KHAYAL,"AKASHWANI SANGEET SAMMELAN, OCTOBER- 2009 (SPECIAL PROGRMME OF MUSIC)",,,,,,,,,,DELHI,,08-06-2015 12:27,08-06-2015 12:27,Ingest,1,1,42,,
2,Abhogi,IN-AIR-DSA-GT-M00-022160,8213-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY ANANT G. TIRDAL  (TAAL-JHAP TAAL &  DRUT EK TAAL) PART 02,,,ANANT G. TIRDAL,,,Vocal," TABLA-  UDAY KULKARNI, 	  HARMONIUM-  RAVINDRA. G. KATOTE",ABHOGI (NIGHT),EK TAL,CHARAN DHARN AAYO LAJ RAKHO MORI,,,,,NATIONAL PROG. OF MUSIC,"TABLA-  UDAY KULKARNI, 	  HARMONIUM-  RAVINDRA. G. KATOTE",,,,,,PART 02,,,DHARWAD,,10-02-2015 10:50,10-02-2015 10:50,Ingest,1,1,53,,
3,Darbari_kanada,IN-AIR-DSA-GT-M00-024830,13278-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY PADMA TALWALKAR,PADMA TALWALKAR (VOCAL),,PADMA TALWALKAR,,VOCAL RECITAL,Vocal, TABLA-  ONKAR GULVADI   HARMONIUM-   SUDHIR NAIK,DARVARI KANADA (NIGHT),JHOOMRA,MUBARAKBADIYAN,,,,VILAMBIT &DRUT GAT,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,MUMBAI,,24-06-2015 11:17,24-06-2015 11:17,Ingest,1,1,84,,
4,Abhogi_kanada,IN-AIR-DSA-GT-M00-024337,12257-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SUKHADEV CHATURVEDI,SUKHDEV BIHARI CHATURVEDI (VOCAL),,SUKHADEV CHATURVEDI,,,Vocal," PAKHAWAJ-  MANIK MUNDE,  SARANGI- ANWAR HUSSAIN",ABHOGI KANADA (NIGHT),DHAMMAR,TERO MAG JOWAT,,,,,NATIONAL PROGRAMME OF MUSIC,,,,SWAMI HARI DAS,,,PART 01,TERO MAG JOWAT,,MUMBAI,,08-06-2015 12:25,08-06-2015 12:25,Ingest,1,1,49,,
5,Khamaj,IN-AIR-DSA-GT-M00-024832,13284-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY PADMA TALWALKAR, CUT- 02",PADMA TALWALKAR (VOCAL),,PADMA TALWALKAR,,VOCAL RECITAL,Bhajan, TABLA-  ONKAR GULVADI   HARMONIUM-   SUDHIR NAIK,BHAJAN (ANYTIME),,JAANKI NATH SAHAY KARE,,,,BHAJAN,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,MUMBAI,,24-06-2015 11:37,24-06-2015 11:37,Ingest,1,1,26,,
6,Adana,IN-AIR-DSA-GT-M00-024016,11095-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SHRI INDU DHAR NIRODY,,,SHRI INDU DHAR NIRODY,,,Vocal," TABLA-  UDAYRAJ KARPOOR,   HARMONIUM-  VYAS MURTI KATTI,  SARANGI- FAYYAZ KHAN",ADANA (NIGHT),TEEN TAL,AYE RE KARKARA,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 02,AYE RE KARKARA,,BANGALORE,,14-05-2015 15:32,14-05-2015 15:32,Ingest,1,1,31,,
7,Adana,IN-AIR-DSA-GT-M00-024636,12559-1-1.wav,"HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SHANNO KHURANA,CUT- 02",,,VIDUSHI SHANNO KHURANA,,VOCAL RECITAL,Vocal, TABLA-   AKHTAR HASSAN   HARMONIUM-  VINAY MISHRA PAKHAWAJ- MANMOHAN NAIK  SARANGI-  PT. BHARAT BHUSHAN GOSWAMI,ADANA (NIGHT),TEEN TAL,NOOR KI OARAT PHUHAR,"RAMPUR,SEHASWAN",,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,DELHI,,11-06-2015 14:27,11-06-2015 14:27,Ingest,1,1,70,,
8,Devgiri_bilawal,IN-AIR-DSA-GT-M00-032388,13979-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,DEVIGIRI BILAWAL (MORNING),TEEN TAL,ALI ALI YA ALI MURTZA ALI & MEHBOB KHUDA KE MEHBOB BHYO.,,,,TARANA,,,,,,,,CUT-14,,,,,09-07-2015 16:26,09-07-2015 16:26,Ingest,1,1,9,,
9,Bhairav,IN-AIR-DSA-GT-M00-032382,13972-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,BHAIRAV (MORNING),EK TAL,GHARI PAL CHINN JAP RE WAH KO & JOYE JOYE DHIYAWE SO HE PHAL PAAWE.,,,,TARANA,,,,,,,,CUT-08,,,,,09-07-2015 16:05,09-07-2015 16:05,Ingest,1,1,8,,
10,Bhimpalasi,IN-AIR-DSA-GT-M00-032385,13976-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,BHIM PLASI (AFTERNOON),,AANWE RE NA JAVIN DHULAN & ACCHWA ISHAQ AKHAD DA.,,,,TARANA,,,,,,,,CUT-11,,,,,09-07-2015 16:16,09-07-2015 16:16,Ingest,1,1,8,,
11,Alhaiya_bilawal,IN-AIR-DSA-GT-M00-024121,11491-1-1.wav,HINDUSTANI CLASSICAL VOCAL BY SURESH P. BAPAT,,,SURESH P. BAPAT,,,Vocal," TABLA-  SAMAY CHOLKAR,   HARMONIUM-  RAYA KORGAONKAR",ALHAIYA BILAWAL (MORNING),EK TAL,KANTHA MORE,,,,,AKASHWANI SANGEET SAMMELAN 2010,,,,,,,PART 01,KANTHA MORE,,GANGTOK,,22-05-2015 15:10,22-05-2015 15:10,Ingest,1,1,47,,
